시점,공급량
1996-01-01,605519
1996-02-01,566323
1996-03-01,477514
1996-04-01,337797
1996-05-01,184522
1996-06-01,116416
1996-07-01,109474
1996-08-01,94736
1996-09-01,105143
1996-10-01,237249
1996-11-01,434413
1996-12-01,651230
1997-01-01,775522
1997-02-01,640683
1997-03-01,532435
1997-04-01,352435
1997-05-01,357484
1997-06-01,248334
1997-07-01,154617
1997-08-01,138050
1997-09-01,119715
1997-10-01,164985
1997-11-01,332390
1997-12-01,510747
1998-01-01,752219
1998-02-01,807493
1998-03-01,663455
1998-04-01,571545
1998-05-01,331872
1998-06-01,215061
1998-07-01,171457
1998-08-01,148578
1998-09-01,143551
1998-10-01,267633
1998-11-01,589639
1998-12-01,845802
1999-01-01,984487
1999-02-01,847927
1999-03-01,934345
1999-04-01,462060
1999-05-01,290920
1999-06-01,189179
1999-07-01,163166
1999-08-01,161284
1999-09-01,183081
1999-10-01,402061
1999-11-01,657325
1999-12-01,1027319
2000-01-01,1148336
2000-02-01,1082801
2000-03-01,847669
2000-04-01,548101
2000-05-01,350196
2000-06-01,206764
2000-07-01,181402
2000-08-01,179319
2000-09-01,239174
2000-10-01,416665
2000-11-01,763938
2000-12-01,1099623
2001-01-01,1368105
2001-02-01,1108879
2001-03-01,950504
2001-04-01,552465
2001-05-01,318955
2001-06-01,217625
2001-07-01,212416
2001-08-01,193381
2001-09-01,202370
2001-10-01,383573
2001-11-01,795997
2001-12-01,1246694
2002-01-01,1291199
2002-02-01,1066290
2002-03-01,890162
2002-04-01,551890
2002-05-01,386105
2002-06-01,251404
2002-07-01,235945
2002-08-01,237199
2002-09-01,264393
2002-10-01,559568
2002-11-01,1066576
2002-12-01,1293196
2003-01-01,1560357
2003-02-01,1176215
2003-03-01,1054488
2003-04-01,643963
2003-05-01,396910
2003-06-01,27845
2003-07-01,269741
2003-08-01,253603
2003-09-01,287316
2003-10-01,535197
2003-11-01,829249
2003-12-01,1369037
2004-01-01,1553307
2004-02-01,1300586
2004-03-01,1122849
2004-04-01,670097
2004-05-01,452718
2004-06-01,300907
2004-07-01,297785
2004-08-01,263000
2004-09-01,285974
2004-10-01,520696
2004-11-01,853352
2004-12-01,1337304
2005-01-01,1681918
2005-02-01,1507942
2005-03-01,1299957
2005-04-01,720771
2005-05-01,449185
2005-06-01,314339
2005-07-01,299187
2005-08-01,279058
2005-09-01,295571
2005-10-01,353890
2005-11-01,956702
2005-12-01,1814903
2006-01-01,1663668
2006-02-01,1465276
2006-03-01,1252496
2006-04-01,827127
2006-05-01,470598
2006-06-01,338470
2006-07-01,334729
2006-08-01,309326
2006-09-01,314777
2006-10-01,412591
2006-11-01,940748
2006-12-01,1533772
2007-01-01,1645363
2007-02-01,134625
2007-03-01,1242387
2007-04-01,931041
2007-05-01,483763
2007-06-01,340698
2007-07-01,325438
2007-08-01,320590
2007-09-01,318500
2007-10-01,549074
2007-11-01,1067962
2007-12-01,1536487
2008-01-01,1784041
2008-02-01,1646181
2008-03-01,1183208
2008-04-01,728851
2008-05-01,479449
2008-06-01,359609
2008-07-01,331818
2008-08-01,301668
2008-09-01,312720
2008-10-01,476836
2008-11-01,1012111
2008-12-01,1553382
2009-01-01,1828194
2009-02-01,1342361
2009-03-01,1219251
2009-04-01,772023
2009-05-01,466732
2009-06-01,348457
2009-07-01,335077
2009-08-01,312854
2009-09-01,320013
2009-10-01,490204
2009-11-01,1051972
2009-12-01,1691507
2010-01-01,2007813
2010-02-01,1485036
2010-03-01,1351544
2010-04-01,961861
2010-05-01,542735
2010-06-01,370060
2010-07-01,334545
2010-08-01,318729
2010-09-01,327929
2010-10-01,553872
2010-11-01,1059788
2010-12-01,1701331
2011-01-01,2162477
2011-02-01,1505957
2011-03-01,1362580
2011-04-01,876144
2011-05-01,535900
2011-06-01,386400
2011-07-01,367658
2011-08-01,343770
2011-09-01,335737
2011-10-01,540842
2011-11-01,843047
2011-12-01,1660433
2012-01-01,1914601
2012-02-01,1786762
2012-03-01,1372721
2012-04-01,845919
2012-05-01,464615
2012-06-01,364850
2012-07-01,374518
2012-08-01,329101
2012-09-01,336686
2012-10-01,523083
2012-11-01,1100824
2012-12-01,1914895
2013-01-01,2011896
2013-02-01,1587145
2013-03-01,1240854
2013-04-01,931144
2013-05-01,544889
2013-06-01,374368
2013-07-01,358204
2013-08-01,342725
2013-09-01,318873
2013-10-01,492833
2013-11-01,1059637
2013-12-01,1638151
2014-01-01,1741249
2014-02-01,1443602
2014-03-01,1157243
2014-04-01,701710
2014-05-01,489021
2014-06-01,364068
2014-07-01,351317
2014-08-01,330374
2014-09-01,330810
2014-10-01,492443
2014-11-01,924236
2014-12-01,1794870
2015-01-01,1763930
2015-02-01,1484195
2015-03-01,1269808
2015-04-01,780107
2015-05-01,479793
2015-06-01,373618
2015-07-01,355548
2015-08-01,327840
2015-09-01,328598
2015-10-01,477063
2015-11-01,890663
2015-12-01,1491034
2016-01-01,1909356
2016-02-01,1615218
2016-03-01,1244424
2016-04-01,710486
2016-05-01,485529
2016-06-01,385260
2016-07-01,374707
2016-08-01,338814
2016-09-01,331396
2016-10-01,489833
2016-11-01,1052094
2016-12-01,1586809
2017-01-01,1859724
2017-02-01,1642258
2017-03-01,1300191
2017-04-01,759085
2017-05-01,481843
2017-06-01,3924041
2017-07-01,373759
2017-08-01,354898
2017-09-01,355713
2017-10-01,506084
2017-11-01,1164073
2017-12-01,1967384
2018-01-01,2187356
2018-02-01,1877259
2018-03-01,1294043
2018-04-01,810979
2018-05-01,557259
2018-06-01,421366
2018-07-01,397534
2018-08-01,359429
2018-09-01,364344
2018-10-01,647374
2018-11-01,1089734
2018-12-01,1865694
2019-01-01,2023662
2019-02-01,1660132
2019-03-01,1279302
2019-04-01,920035
2019-05-01,548871
2019-06-01,149341
2019-07-01,403664
2019-08-01,374639
2019-09-01,366621
2019-10-01,520739
2019-11-01,1055013
2019-12-01,1732147
2020-01-01,1819123
2020-02-01,1604680
2020-03-01,1243141
2020-04-01,918206
2020-05-01,539517
2020-06-01,406010
2020-07-01,399937
2020-08-01,398661
2020-09-01,380235
2020-10-01,616682
2020-11-01,1093747
2020-12-01,1921404
