,date,CAP_TEMP_EF,DONGNAM_TEMP_EF,DAEGYUNG_TEMP_EF,CHOONG_TEMP_EF,HONAM_TEMP_EF
0,1996-01,0.84711,5.91778,6.73765,3.33479,1.88651
1,1996-02,0.8143,5.90875,6.73291,3.32638,1.87883
2,1996-03,0.60731,5.81529,6.67634,3.22,1.7874
3,1996-04,0.24132,5.71003,6.61264,3.07795,1.66054
4,1996-05,-0.38328,5.67433,6.58956,3.02586,1.62083
5,1996-06,-0.70081,5.63238,6.54333,2.9654,1.58217
6,1996-07,-0.81068,5.59896,6.52853,2.93751,1.56448
7,1996-08,-0.8656,5.57471,6.52978,2.94074,1.56549
8,1996-09,-0.66947,5.6122,6.56536,2.97122,1.58408
9,1996-10,-0.09905,5.67417,6.61426,3.0671,1.6426
10,1996-11,0.50425,5.74181,6.65284,3.1574,1.70866
11,1996-12,0.72614,5.9393,6.75288,3.364,1.90442
12,1997-01,0.86639,5.8744,6.71688,3.30008,1.83445
13,1997-02,0.76413,5.87605,6.71506,3.28897,1.83939
14,1997-03,0.4826,5.79873,6.66794,3.19651,1.75551
15,1997-04,0.03801,5.73145,6.62884,3.10179,1.67831
16,1997-05,-0.29856,5.68172,6.5941,3.01163,1.61899
17,1997-06,-0.71464,5.63967,6.55835,2.96889,1.58936
18,1997-07,-0.84775,5.61369,6.55143,2.96058,1.57728
19,1997-08,-0.89054,5.54832,6.50707,2.92492,1.55856
20,1997-09,-0.51714,5.62953,6.58319,2.99379,1.60395
21,1997-10,-0.02592,5.64383,6.59678,3.02919,1.62162
22,1997-11,0.33534,5.72143,6.64987,3.14738,1.69358
23,1997-12,0.69981,5.82056,6.7056,3.27711,1.81225
24,1998-01,0.80812,5.8445,6.70743,3.29954,1.83425
25,1998-02,0.64696,5.79976,6.68254,3.22926,1.77493
26,1998-03,0.43459,5.78037,6.66293,3.18073,1.73654
27,1998-04,-0.18694,5.71989,6.6248,3.09999,1.67773
28,1998-05,-0.44176,5.66695,6.58613,3.01389,1.61612
29,1998-06,-0.62455,5.63898,6.56191,2.9662,1.58776
30,1998-07,-0.81997,5.61234,6.54565,2.94955,1.57319
31,1998-08,-0.83259,5.56138,6.51356,2.93019,1.55973
32,1998-09,-0.69687,5.61197,6.56939,2.97979,1.59108
33,1998-10,-0.29939,5.66145,6.60959,3.05926,1.63724
34,1998-11,0.39161,5.73698,6.65974,3.18554,1.7213
35,1998-12,0.70666,5.80581,6.69624,3.26684,1.78558
36,1999-01,0.78592,5.85549,6.72781,3.324,1.86064
37,1999-02,0.75658,5.87584,6.73003,3.32506,1.86751
38,1999-03,0.47376,5.76776,6.6583,3.16836,1.72929
39,1999-04,-0.04029,5.70934,6.62026,3.07186,1.65573
40,1999-05,-0.32671,5.6712,6.58651,3.01641,1.6178
41,1999-06,-0.69242,5.64724,6.57823,2.98132,1.59244
42,1999-07,-0.8326,5.5776,6.50597,2.93168,1.55704
43,1999-08,-0.81382,5.58476,6.53391,2.94557,1.56417
44,1999-09,-0.68731,5.61082,6.56108,2.97861,1.58268
45,1999-10,-0.0893,5.65315,6.60139,3.05186,1.62469
46,1999-11,0.37083,5.74321,6.6571,3.16958,1.71408
47,1999-12,0.75676,5.82504,6.71085,3.27544,1.80662
48,2000-01,0.83292,5.88571,6.74045,3.34078,1.86796
49,2000-02,0.84322,5.79022,6.682,3.2413,1.77487
50,2000-03,0.49727,5.76681,6.66015,3.18633,1.73675
51,2000-04,0.11871,5.70571,6.61635,3.09144,1.66455
52,2000-05,-0.31136,5.65902,6.57799,3.01391,1.60984
53,2000-06,-0.71349,5.62822,6.55244,2.97173,1.58418
54,2000-07,-0.84246,5.60725,6.54653,2.96166,1.57515
55,2000-08,-0.81559,5.5859,6.53984,2.94704,1.56622
56,2000-09,-0.55121,5.61428,6.56692,2.97725,1.58843
57,2000-10,-0.12428,5.65645,6.60618,3.0476,1.62751
58,2000-11,0.44463,5.75281,6.6601,3.17217,1.71727
59,2000-12,0.7323,5.85125,6.72109,3.30455,1.83124
60,2001-01,0.86393,5.9039,6.75077,3.36038,1.88112
61,2001-02,0.78707,5.84109,6.70762,3.27094,1.80808
62,2001-03,0.54876,5.79714,6.67464,3.20775,1.74479
63,2001-04,-0.01845,5.74056,6.64168,3.12809,1.69148
64,2001-05,-0.43603,5.67257,6.59003,3.02102,1.6184
65,2001-06,-0.66678,5.62223,6.54389,2.95848,1.58246
66,2001-07,-0.81259,5.58144,6.5251,2.93387,1.56499
67,2001-08,-0.80739,5.54435,6.50152,2.92145,1.55133
68,2001-09,-0.64305,5.5938,6.55667,2.97406,1.58335
69,2001-10,-0.26271,5.66284,6.61142,3.06767,1.64416
70,2001-11,0.43271,5.74595,6.66278,3.18131,1.72942
71,2001-12,0.79981,5.85855,6.72794,3.30651,1.84071
72,2002-01,0.73625,5.98749,6.783,3.41925,1.96999
73,2002-02,0.67082,5.82957,6.70089,3.2742,1.82632
74,2002-03,0.40147,5.80607,6.67596,3.2231,1.7833
75,2002-04,-0.03105,5.72015,6.62718,3.10366,1.67999
76,2002-05,-0.37652,5.6719,6.59452,3.01533,1.61507
77,2002-06,-0.62522,5.6295,6.54971,2.96527,1.58473
78,2002-07,-0.77106,5.58336,6.52468,2.93477,1.56359
79,2002-08,-0.74206,5.57473,6.53089,2.9342,1.56695
80,2002-09,-0.59816,5.60483,6.56092,2.98077,1.58838
81,2002-10,0.00335,5.66983,6.61572,3.07546,1.64492
82,2002-11,0.60148,5.71339,6.64668,3.11457,1.68123
83,2002-12,0.6788,5.86612,6.72037,3.299,1.84086
84,2003-01,0.82811,5.90268,6.73785,3.33752,1.88083
85,2003-02,0.6804,5.90359,6.73848,3.32773,1.88446
86,2003-03,0.46499,5.78947,6.6686,3.20157,1.76151
87,2003-04,-0.00537,5.7109,6.61942,3.08516,1.66814
88,2003-05,-0.45145,5.65455,6.5846,2.99591,1.60709
89,2003-06,-0.5958,5.62773,6.56175,2.95437,1.58412
90,2003-07,-0.7109,5.56347,6.51556,2.92921,1.56319
91,2003-08,-0.73066,5.54783,6.51036,2.92199,1.55372
92,2003-09,-0.5712,5.61945,6.57443,2.98684,1.59782
93,2003-10,-0.07144,5.6671,6.61408,3.0652,1.64101
94,2003-11,0.24792,5.76159,6.66503,3.19347,1.73224
95,2003-12,0.73793,5.90034,6.75258,3.36344,1.88079
96,2004-01,0.793,5.90997,6.75355,3.35962,1.89391
97,2004-02,0.65971,5.86139,6.71977,3.30805,1.85001
98,2004-03,0.43456,5.76153,6.65533,3.18675,1.74857
99,2004-04,-0.00748,5.72834,6.63672,3.12129,1.69226
100,2004-05,-0.3446,5.66328,6.58176,3.00927,1.61508
101,2004-06,-0.65951,5.62303,6.55129,2.95227,1.58085
102,2004-07,-0.72264,5.5711,6.50078,2.9246,1.55914
103,2004-08,-0.74238,5.54085,6.4944,2.91505,1.54681
104,2004-09,-0.59042,5.60139,6.56427,2.97832,1.58977
105,2004-10,-0.16559,5.65458,6.60544,3.05016,1.63472
106,2004-11,0.27712,5.75668,6.66063,3.1853,1.732
107,2004-12,0.65395,5.84396,6.70677,3.28271,1.82449
108,2005-01,0.83209,5.91778,6.73765,3.33479,1.88651
109,2005-02,0.80995,5.90875,6.73291,3.32638,1.87883
110,2005-03,0.57238,5.81529,6.67634,3.22,1.7874
111,2005-04,-0.00989,5.71003,6.61264,3.07795,1.66054
112,2005-05,-0.33777,5.67433,6.58956,3.02586,1.62083
113,2005-06,-0.63201,5.63238,6.54333,2.9654,1.58217
114,2005-07,-0.72731,5.59896,6.52853,2.93751,1.56448
115,2005-08,-0.71922,5.57471,6.52978,2.94074,1.56549
116,2005-09,-0.59569,5.6122,6.56536,2.97122,1.58408
117,2005-10,-0.13483,5.67417,6.61426,3.0671,1.6426
118,2005-11,0.29995,5.74181,6.65284,3.1574,1.70866
119,2005-12,0.86094,5.9393,6.75288,3.364,1.90442
120,2006-01,0.76326,5.8744,6.71688,3.30008,1.83445
121,2006-02,0.72873,5.87605,6.71506,3.28897,1.83939
122,2006-03,0.50864,5.79873,6.66794,3.19651,1.75551
123,2006-04,0.09895,5.73145,6.62884,3.10179,1.67831
124,2006-05,-0.39219,5.68172,6.5941,3.01163,1.61899
125,2006-06,-0.51785,5.63967,6.55835,2.96889,1.58936
126,2006-07,-0.65764,5.61369,6.55143,2.96058,1.57728
127,2006-08,-0.73643,5.54832,6.50707,2.92492,1.55856
128,2006-09,-0.54742,5.62953,6.58319,2.99379,1.60395
129,2006-10,-0.35784,5.64383,6.59678,3.02919,1.62162
130,2006-11,0.30718,5.72143,6.64987,3.14738,1.69358
131,2006-12,0.68825,5.82056,6.7056,3.27711,1.81225
132,2007-01,0.74949,5.8445,6.70743,3.29954,1.83425
133,2007-02,0.56862,5.79976,6.68254,3.22926,1.77493
134,2007-03,0.44112,5.78037,6.66293,3.18073,1.73654
135,2007-04,0.10736,5.71989,6.6248,3.09999,1.67773
136,2007-05,-0.36739,5.66695,6.58613,3.01389,1.61612
137,2007-06,-0.62814,5.63898,6.56191,2.9662,1.58776
138,2007-07,-0.67464,5.61234,6.54565,2.94955,1.57319
139,2007-08,-0.7279,5.56138,6.51356,2.93019,1.55973
140,2007-09,-0.57514,5.61197,6.56939,2.97979,1.59108
141,2007-10,-0.16509,5.66145,6.60959,3.05926,1.63724
142,2007-11,0.40094,5.73698,6.65974,3.18554,1.7213
143,2007-12,0.68086,5.80581,6.69624,3.26684,1.78558
144,2008-01,0.80486,5.85549,6.72781,3.324,1.86064
145,2008-02,0.78869,5.87584,6.73003,3.32506,1.86751
146,2008-03,0.37816,5.76776,6.6583,3.16836,1.72929
147,2008-04,-0.08667,5.70934,6.62026,3.07186,1.65573
148,2008-05,-0.33278,5.6712,6.58651,3.01641,1.6178
149,2008-06,-0.54979,5.64724,6.57823,2.98132,1.59244
150,2008-07,-0.6905,5.5776,6.50597,2.93168,1.55704
151,2008-08,-0.66982,5.58476,6.53391,2.94557,1.56417
152,2008-09,-0.55243,5.61082,6.56108,2.97861,1.58268
153,2008-10,-0.23792,5.65315,6.60139,3.05186,1.62469
154,2008-11,0.33022,5.74321,6.6571,3.16958,1.71408
155,2008-12,0.66965,5.82504,6.71085,3.27544,1.80662
156,2009-01,0.78925,5.88571,6.74045,3.34078,1.86796
157,2009-02,0.60863,5.79022,6.682,3.2413,1.77487
158,2009-03,0.44099,5.76681,6.66015,3.18633,1.73675
159,2009-04,0.00649,5.70571,6.61635,3.09144,1.66455
160,2009-05,-0.41068,5.65902,6.57799,3.01391,1.60984
161,2009-06,-0.58334,5.62822,6.55244,2.97173,1.58418
162,2009-07,-0.65747,5.60725,6.54653,2.96166,1.57515
163,2009-08,-0.67456,5.5859,6.53984,2.94704,1.56622
164,2009-09,-0.56266,5.61428,6.56692,2.97725,1.58843
165,2009-10,-0.23597,5.65645,6.60618,3.0476,1.62751
166,2009-11,0.35504,5.75281,6.6601,3.17217,1.71727
167,2009-12,0.72806,5.85125,6.72109,3.30455,1.83124
168,2010-01,0.84789,5.9039,6.75077,3.36038,1.88112
169,2010-02,0.63396,5.84109,6.70762,3.27094,1.80808
170,2010-03,0.54789,5.79714,6.67464,3.20775,1.74479
171,2010-04,0.21556,5.74056,6.64168,3.12809,1.69148
172,2010-05,-0.30445,5.67257,6.59003,3.02102,1.6184
173,2010-06,-0.60063,5.62223,6.54389,2.95848,1.58246
174,2010-07,-0.67696,5.58144,6.5251,2.93387,1.56499
175,2010-08,-0.67127,5.54435,6.50152,2.92145,1.55133
176,2010-09,-0.52891,5.5938,6.55667,2.97406,1.58335
177,2010-10,-0.13782,5.66284,6.61142,3.06767,1.64416
178,2010-11,0.39864,5.74595,6.66278,3.18131,1.72942
179,2010-12,0.72621,5.85855,6.72794,3.30651,1.84071
180,2011-01,0.91507,5.98749,6.783,3.41925,1.96999
181,2011-02,0.67967,5.82957,6.70089,3.2742,1.82632
182,2011-03,0.56716,5.80607,6.67596,3.2231,1.7833
183,2011-04,0.13252,5.72015,6.62718,3.10366,1.67999
184,2011-05,-0.34445,5.6719,6.59452,3.01533,1.61507
185,2011-06,-0.53877,5.6295,6.54971,2.96527,1.58473
186,2011-07,-0.63937,5.58336,6.52468,2.93477,1.56359
187,2011-08,-0.65431,5.57473,6.53089,2.9342,1.56695
188,2011-09,-0.5208,5.60483,6.56092,2.98077,1.58838
189,2011-10,-0.11724,5.66983,6.61572,3.07546,1.64492
190,2011-11,0.10459,5.71339,6.64668,3.11457,1.68123
191,2011-12,0.74809,5.86612,6.72037,3.299,1.84086
192,2012-01,0.80874,5.90268,6.73785,3.33752,1.88083
193,2012-02,0.76351,5.90359,6.73848,3.32773,1.88446
194,2012-03,0.47923,5.78947,6.6686,3.20157,1.76151
195,2012-04,0.02451,5.7109,6.61942,3.08516,1.66814
196,2012-05,-0.44325,5.65455,6.5846,2.99591,1.60709
197,2012-06,-0.59921,5.62773,6.56175,2.95437,1.58412
198,2012-07,-0.61948,5.56347,6.51556,2.92921,1.56319
199,2012-08,-0.60202,5.54783,6.51036,2.92199,1.55372
200,2012-09,-0.50942,5.61945,6.57443,2.98684,1.59782
201,2012-10,-0.19322,5.6671,6.61408,3.0652,1.64101
202,2012-11,0.45271,5.76159,6.66503,3.19347,1.73224
203,2012-12,0.83496,5.90034,6.75258,3.36344,1.88079
204,2013-01,0.8057,5.90997,6.75355,3.35962,1.89391
205,2013-02,0.74921,5.86139,6.71977,3.30805,1.85001
206,2013-03,0.4706,5.76153,6.65533,3.18675,1.74857
207,2013-04,0.16527,5.72834,6.63672,3.12129,1.69226
208,2013-05,-0.34568,5.66328,6.58176,3.00927,1.61508
209,2013-06,-0.59034,5.62303,6.55129,2.95227,1.58085
210,2013-07,-0.63756,5.5711,6.50078,2.9246,1.55914
211,2013-08,-0.61072,5.54085,6.4944,2.91505,1.54681
212,2013-09,-0.52858,5.60139,6.56427,2.97832,1.58977
213,2013-10,-0.20865,5.65458,6.60544,3.05016,1.63472
214,2013-11,0.38766,5.75668,6.66063,3.1853,1.732
215,2013-12,0.71095,5.84396,6.70677,3.28271,1.82449
216,2014-01,0.73874,5.85637,6.71521,3.30686,1.84661
217,2014-02,0.62657,5.83661,6.69956,3.2554,1.80336
218,2014-03,0.28102,5.76901,6.65614,3.1601,1.73327
219,2014-04,-0.09894,5.70269,6.61621,3.06796,1.65611
220,2014-05,-0.36077,5.65736,6.57336,3.00351,1.61522
221,2014-06,-0.56525,5.62875,6.55918,2.96233,1.58769
222,2014-07,-0.59332,5.58772,6.52107,2.93311,1.57123
223,2014-08,-0.59458,5.59671,6.54743,2.9489,1.57774
224,2014-09,-0.52923,5.61421,6.56782,2.97619,1.59196
225,2014-10,-0.20983,5.66587,6.61129,3.0574,1.63629
226,2014-11,0.21732,5.72575,6.64898,3.1518,1.70068
227,2014-12,0.81363,5.88241,6.73195,3.33173,1.86103
228,2015-01,0.74204,5.85909,6.71923,3.3063,1.85095
229,2015-02,0.65872,5.84316,6.70377,3.27085,1.82524
230,2015-03,0.3682,5.77645,6.6621,3.18031,1.74722
231,2015-04,-0.05535,5.71125,6.62723,3.08077,1.66099
232,2015-05,-0.36658,5.65572,6.57113,3.00151,1.61265
233,2015-06,-0.54316,5.63285,6.56297,2.95788,1.58996
234,2015-07,-0.57746,5.59822,6.54073,2.93792,1.57036
235,2015-08,-0.57514,5.56985,6.53114,2.92795,1.5656
236,2015-09,-0.52057,5.6211,6.5823,2.97531,1.59371
237,2015-10,-0.19649,5.66359,6.61414,3.0506,1.63213
238,2015-11,0.20308,5.71667,6.6458,3.12772,1.68731
239,2015-12,0.63086,5.79839,6.69664,3.24838,1.77939
240,2016-01,0.79128,5.89633,6.7527,3.33175,1.86966
241,2016-02,0.68015,5.84531,6.71359,3.28037,1.82529
242,2016-03,0.32703,5.76834,6.66307,3.17552,1.73723
243,2016-04,-0.10925,5.69593,6.6196,3.05994,1.64413
244,2016-05,-0.38991,5.65015,6.58413,2.99793,1.60947
245,2016-06,-0.54683,5.62268,6.55955,2.95486,1.58702
246,2016-07,-0.55395,5.57923,6.52726,2.92654,1.55943
247,2016-08,-0.48509,5.54161,6.51169,2.91407,1.55103
248,2016-09,-0.53686,5.61066,6.57327,2.9672,1.58689
249,2016-10,-0.23759,5.65725,6.6093,3.0454,1.6289
250,2016-11,0.32544,5.74062,6.66195,3.17856,1.71517
251,2016-12,0.6354,5.80989,6.70174,3.25886,1.79233
252,2017-01,0.74541,5.87454,6.73643,3.31561,1.84812
253,2017-02,0.70441,5.84467,6.71232,3.28492,1.82859
254,2017-03,0.36854,5.77865,6.66797,3.18428,1.74743
255,2017-04,-0.10485,5.69836,6.61485,3.06464,1.64998
256,2017-05,-0.39431,5.65362,6.57702,2.99983,1.60923
257,2017-06,-0.50857,5.63006,6.55731,2.95981,1.58558
258,2017-07,-0.54808,5.57173,6.51141,2.92175,1.55301
259,2017-08,-0.52365,5.55582,6.52769,2.93259,1.55854
260,2017-09,-0.49747,5.61536,6.57522,2.98155,1.59132
261,2017-10,-0.24563,5.66361,6.61235,3.04997,1.63171
262,2017-11,0.38453,5.74908,6.66988,3.19157,1.72613
263,2017-12,0.75892,5.88406,6.73992,3.31422,1.8473
264,2018-01,0.79777,5.92746,6.76687,3.35555,1.89772
265,2018-02,0.7357,5.88478,6.7403,3.31436,1.8584
266,2018-03,0.25199,5.76829,6.66175,3.15423,1.71484
267,2018-04,-0.05065,5.7041,6.61865,3.0749,1.6514
268,2018-05,-0.34269,5.66615,6.58981,3.00429,1.61187
269,2018-06,-0.51157,5.62737,6.55545,2.95589,1.58249
270,2018-07,-0.45778,5.55607,6.49905,2.91385,1.54696
271,2018-08,-0.4302,5.54231,6.50958,2.90375,1.54551
272,2018-09,-0.47797,5.62216,6.58002,2.98002,1.59643
273,2018-10,-0.06619,5.68129,6.62391,3.0836,1.65316
274,2018-11,0.2659,5.73001,6.66114,3.16086,1.70641
275,2018-12,0.69498,5.84939,6.72972,3.2983,1.82955
276,2019-01,0.72846,5.86011,6.72639,3.30583,1.84808
277,2019-02,0.61754,5.82241,6.7035,3.26986,1.81516
278,2019-03,0.31742,5.75461,6.6566,3.16589,1.72985
279,2019-04,-0.0176,5.7176,6.62878,3.08767,1.67183
280,2019-05,-0.37652,5.65046,6.5787,3.00053,1.61505
281,2019-06,-0.49321,5.63192,6.56352,2.96558,1.59346
282,2019-07,-0.51455,5.59512,6.53587,2.93362,1.57147
283,2019-08,-0.4793,5.55658,6.51563,2.92089,1.55829
284,2019-09,-0.49788,5.60852,6.56712,2.96723,1.58791
285,2019-10,-0.24486,5.65838,6.60812,3.0399,1.62994
286,2019-11,0.2891,5.72285,6.65438,3.15245,1.69935
287,2019-12,0.625,5.81353,6.70712,3.25789,1.78814
288,2020-01,0.61824,5.82243,6.7024,3.25477,1.79268
289,2020-02,0.54242,5.81369,6.69587,3.24052,1.78708
290,2020-03,0.26552,5.75646,6.65685,3.15514,1.72357
291,2020-04,0.05547,5.72578,6.63467,3.10637,1.68798
292,2020-05,-0.33926,5.66548,6.58986,3.00751,1.61595
293,2020-06,-0.49172,5.61675,6.54701,2.9506,1.58258
294,2020-07,-0.5232,5.62103,6.56242,2.95481,1.58464
295,2020-08,-0.52038,5.55479,6.50341,2.91789,1.55535
296,2020-09,-0.48046,5.62159,6.57738,2.98076,1.59811
297,2020-10,-0.14824,5.67245,6.61732,3.06704,1.64228
298,2020-11,0.23138,5.73286,6.65465,3.1524,1.70088
299,2020-12,0.67354,5.86844,6.73079,3.29658,1.83258
