"월별(1)","시점",한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,타사,타사,타사,타사,타사,타사,타사,타사,타사,사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),상용자가,상용자가,상용자가,총발전량,총발전량
"월별(1)","시점",소계,수력,수력,수력,수력,기력,기력,기력,기력,기력,복합화력,원자력,신재생,집단,내연력,기타,소계,수력,수력,수력,기력,복합화력,신재생,집단,기타,소계,수력,수력,수력,수력,기력,기력,기력,기력,기력,복합화력,원자력,신재생,집단,내연력,기타,소계,한전구입,자가소비,사업자+한전구입,사업자+상용자가
"월별(1)","시점",소계,소계,일반,양수,소수력,소계,무연탄,유연탄,중유,LNG,소계,소계,소계,소계,소계,소계,소계,소계,일반,소수력,유연탄,소계,소계,소계,소계,소계,소계,일반,양수,소수력,소계,무연탄,유연탄,중유,LNG,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"합계","2015",432758183,4427049,608281,3650320,168447,216378173,7438271,199895424,8822006,222472,43084104,164762416,624515,2838763,643164,-,94756654,1368991,931016,437975,-,57514281,16693434,19179948,-,527514837,5796040,1539298,3650320,606422,216378173,7438271,199895424,8822006,222472,100598385,164762416,17317949,22018711,643164,-,-,576355,-,528091193,-
"합계","2016",436314042,4834818,869712,3787310,177796,221335482,7760682,200151489,13054770,368541,43688294,161995104,1098064,2789084,573196,-,103906393,1798767,1289437,509331,1287995,53233975,17837596,29748060,-,540220436,6633585,2159149,3787310,687126,222623477,7760682,201439484,13054770,368541,96922270,161995104,18935660,32537144,573196,-,-,220419,-,540440854,-
"합계","2017",426484068,5262507,917300,4186353,158855,232631450,4426611,222759888,5224768,220183,33955125,148426725,2693481,3001433,513347,-,126741534,1732666,1346205,386461,4700090,65663865,21451881,33193031,-,553225602,6995173,2263505,4186353,545316,237331541,4426611,227459979,5224768,220183,99618990,148426725,24145362,36194464,513347,-,-,304506,-,553530107,-
"합계","2018",418327451,5187234,1101827,3911035,174372,228662857,2677040,220140570,5845247,-,43133972,133505261,3663802,3645872,528453,-,151520206,2083219,1646574,436645,8835428,73701635,23512872,43387051,-,569847656,7270453,2748401,3911035,611017,237498286,2677040,228975999,5845247,-,116835607,133505261,27176674,47032922,528453,-,-,798850,-,570646507,-
"합계","2019",409069939,4476640,842229,3458385,176026,213628071,2592225,209193368,1842478,-,36669948,145909669,5427962,2378737,578912,-,152823960,1770424,1386809,383615,7290358,73618864,25098295,43679358,1366663,561893899,6247064,2229038,3458385,559641,220918428,2592225,216483725,1842478,-,110288811,145909669,30526257,46058095,578912,1366663,-,1146405,-,563040305,-
"합계","2020",394522245,4501624,1075634,3271019,154971,180898793,2094210,176714012,1503944,586627,38033491,160183721,7016146,3412958,404673,70839,155963475,2646625,2130346,516280,8527220,73725754,24040363,42154306,4869207,550485720,7148249,3205979,3271019,671251,189426013,2094210,185241232,1503944,586627,111759245,160183721,31056508,45567264,404673,4940046,-,1676440,-,552162160,-
"합계","2021",400373182,4761910,927736,3682932,151241,175090166,1853783,170565608,1493853,1176921,49981779,158015230,8340828,3626727,490697,65846,175412367,1975525,1464088,511436,16485199,80376476,30760728,44699062,1115378,575785550,6737434,2391824,3682932,662678,191575365,1853783,187050807,1493853,1176921,130358255,158015230,39101556,48325789,490697,1181224,26152804,1023939,25128865,576809488,601938354
"1월","2015",40246639,391618,35028,343248,13341,19981160,747773,18595501,565283,72603,5228439,14219729,60474,313708,51511,-,8592912,155680,116201,39478,-,4929404,1329384,2178444,-,48839550,547297,151230,343248,52819,19981160,747773,18595501,565283,72603,10157844,14219729,1389857,2492152,51511,-,-,102306,-,48941856,-
"1월","2016",40475119,550011,43529,489913,16569,20168366,726618,17692212,1654327,95209,3863803,15442312,45309,351393,53924,-,9613246,62651,43073,19578,-,5365570,1417379,2767645,-,50088365,612663,86602,489913,36148,20168366,726618,17692212,1654327,95209,9229374,15442312,1462688,3119038,53924,-,-,46951,-,50135317,-
"1월","2017",38858632,417953,37613,365932,14408,21465583,636666,19795166,939839,93912,3472152,13104438,144705,220588,33212,-,10642856,119830,84490,35341,278686,5385878,1746043,3112418,-,49501488,537783,122103,365932,49749,21744269,636666,20073852,939839,93912,8858031,13104438,1890748,3333007,33212,-,-,41160,-,49542649,-
"1월","2018",38943679,377928,60236,303237,14455,23083099,138529,21702042,1242528,-,4837297,9825819,385276,383758,50504,-,14347529,105900,88017,17883,800964,7271178,1832381,4337106,-,53291208,483828,148253,303237,32338,23884063,138529,22503006,1242528,-,12108475,9825819,2217656,4720864,50504,-,-,103006,-,53394215,-
"1월","2019",38316562,418380,62760,340555,15065,20999064,274232,20404389,320443,-,3836442,12256406,410342,351881,44046,-,14463990,126017,100508,25509,810038,6535187,2124546,4856368,11833,52780551,544397,163268,340555,40574,21809102,274232,21214427,320443,-,10371629,12256406,2534888,5208249,44046,11833,-,123238,-,52903789,-
"1월","2020",34737992,401921,74252,312844,14825,17015148,229679,16608437,23371,153661,4463940,11898121,575236,350299,25877,7451,14950305,136604,95785,40819,802767,7247275,1401991,4872695,488974,49688298,538526,170037,312844,55645,17817915,229679,17411203,23371,153661,11711215,11898121,1977227,5222994,25877,496425,-,163078,-,49851376,-
"1월","2021",37204190,383414,48219,323699,11496,16396875,238299,15803888,250396,104292,5259779,14042335,722250,338860,53778,6898,15763947,133352,106583,26769,889305,7681977,1973086,4998731,87494,52968137,516767,154802,323699,38265,17286180,238299,16693193,250396,104292,12941756,14042335,2695337,5337591,53778,94393,...,187466,...,53155603,...
"2월","2015",34831198,356839,39561,305124,12154,17655058,650190,16346181,611868,46819,4368482,12085324,47032,271345,47119,-,7139519,134213,99506,34707,-,4021251,1175297,1808759,-,41970717,491051,139066,305124,46861,17655058,650190,16346181,611868,46819,8389732,12085324,1222329,2080104,47119,-,-,92741,-,42063459,-
"2월","2016",35876358,335969,16595,306404,12969,17809933,665367,15583167,1479587,81812,3146842,14164523,67283,301477,50332,-,8468576,57519,36192,21327,-,4413702,1426107,2571247,-,44344933,393488,52787,306404,34296,17809933,665367,15583167,1479587,81812,7560544,14164523,1493391,2872724,50332,-,-,38390,-,44383323,-
"2월","2017",35496007,402267,37701,352201,12366,19168753,590463,17626862,867864,83564,3121794,12373488,99007,302107,28592,-,9956379,105834,79599,26235,230130,5075544,1668128,2876742,-,45452386,508101,117300,352201,38601,19398883,590463,17856992,867864,83564,8197338,12373488,1767135,3178849,28592,-,-,46173,-,45498559,-
"2월","2018",34098844,337397,56076,269444,11877,20466649,124209,19613591,728850,-,3842928,8791258,293671,320117,46824,-,12284495,102534,86518,16015,696014,6080264,1716809,3688874,-,46383339,439931,142594,269444,27892,21162663,124209,20309604,728850,-,9923192,8791258,2010480,4008991,46824,-,-,88962,-,46472301,-
"2월","2019",32651176,364620,53030,298794,12797,17563736,241826,17210115,111795,-,3013780,11033718,331726,302542,41055,-,12183107,106415,85582,20832,453900,5587235,1978084,4046852,10621,44834283,471035,138612,298794,33629,18017636,241826,17664015,111795,-,8601014,11033718,2309810,4349394,41055,10621,-,98119,-,44932402,-
"2월","2020",32574177,394299,62636,319588,12075,14780833,214361,14513010,10102,43360,3777122,12690402,598910,305685,23374,3552,13688636,133895,94110,39784,750861,6515430,1673018,4181286,434147,46262813,528194,156746,319588,51859,15531694,214361,15263871,10102,43360,10292552,12690402,2271928,4486971,23374,437699,-,186185,-,46448998,-
"2월","2021",30946181,365910,48079,307903,9928,12720042,134298,12460817,94611,30316,4081229,12731704,692805,311313,39715,3463,13882936,112177,89373,22804,1098286,6208608,2298451,4089749,75665,44829117,478088,137452,307903,32732,13818328,134298,13559104,94611,30316,10289837,12731704,2991256,4401062,39715,79127,...,144614,...,44973731,...
"3월","2015",36989660,381252,40644,327216,13393,19147935,703659,16953652,1490624,-,4229097,13053018,41306,64590,72461,-,8677539,143805,102152,41653,-,5266195,1420876,1846663,-,45667199,525057,142795,327216,55046,19147935,703659,16953652,1490624,-,9495291,13053018,1462182,1911254,72461,-,-,74550,-,45741749,-
"3월","2016",36871550,310293,54123,242667,13503,18359434,754717,15892460,1671052,41206,3212093,14602370,68458,257800,61103,-,8882461,84339,48659,35681,24995,4612137,1497690,2663300,-,45754011,394633,102782,242667,49184,18384430,754717,15917455,1671052,41206,7824229,14602370,1566148,2921100,61103,-,-,29058,-,45783069,-
"3월","2017",35672236,389424,49148,328292,11984,19181112,465244,18499247,173914,42707,2497517,13174746,219370,165294,44773,-,11339861,111676,81833,29843,407561,6030517,1778832,3011274,-,47012097,501101,130981,328292,41827,19588674,465244,18906809,173914,42707,8528033,13174746,1998202,3176568,44773,-,-,37487,-,47049584,-
"3월","2018",33762400,357509,43226,299355,14929,19372394,91053,18502444,778897,-,4130468,9243306,326910,291919,39894,-,13424204,105666,79653,26013,692648,7106248,1959142,3560501,-,47186604,463175,122878,299355,40942,20065042,91053,19195092,778897,-,11236716,9243306,2286051,3852420,39894,-,-,62176,-,47248780,-
"3월","2019",34058604,332419,45469,274567,12383,16056495,233613,15238326,584556,-,2880854,14033501,388670,324572,42094,-,13056151,118476,91409,27067,392963,5743267,2441536,4358955,955,47114756,450895,136878,274567,39450,16449458,233613,15631289,584556,-,8624120,14033501,2830206,4683527,42094,955,-,94519,-,47209275,-
"3월","2020",31666663,372560,60797,302056,9707,12444011,103669,12305217,35125,-,3386004,14463259,672669,295406,25248,7505,14336532,161235,116540,44695,538273,6777443,2237382,4135800,486399,46003195,533795,177337,302056,54401,12982284,103669,12843489,35125,-,10163447,14463259,2910051,4431206,25248,493904,-,161733,-,46164928,-
"3월","2021",30634994,387905,68697,308632,10576,11509612,143907,11365705,-,-,3807804,13799717,762492,321788,38574,7101,16405076,124150,82586,41564,849689,8216580,2713028,4416575,85054,47040069,512055,151283,308632,52140,12359301,143907,12215394,-,-,12024384,13799717,3475520,4738364,38574,92155,...,152651,...,47192720,...
"4월","2015",33667819,270808,60936,194723,15149,17006886,597629,15626311,782872,74,3106015,13015704,51552,160024,56829,-,7815036,158841,106181,52661,-,4908510,1332081,1415603,-,41482855,429649,167117,194723,67810,17006886,597629,15626311,782872,74,8014525,13015704,1383634,1575627,56829,-,-,34204,-,41517058,-
"4월","2016",33749626,331333,77217,239462,14654,15976359,608532,14148600,1219227,-,1982621,15332232,57898,29749,39436,-,7394012,134382,88603,45778,58124,3122928,1556080,2522499,-,41143638,465714,165820,239462,60432,16034482,608532,14206723,1219227,-,5105549,15332232,1613978,2552247,39436,-,-,13180,-,41156818,-
"4월","2017",33240589,378089,50537,314478,13074,17105922,462381,16452195,191346,-,1876031,13301538,270178,259056,49775,-,8769194,133045,89553,43492,64326,4490241,1777330,2304252,-,42009783,511134,140091,314478,56566,17170248,462381,16516521,191346,-,6366272,13301538,2047508,2563307,49775,-,-,11829,-,42021612,-
"4월","2018",30333334,364430,71904,279209,13318,15945263,125856,15640045,179362,-,3851500,9422492,373563,333398,42687,-,12777879,134096,90974,43122,720992,6446255,2014390,3462147,-,43111213,498525,162877,279209,56440,16666255,125856,16361037,179362,-,10297755,9422492,2387953,3795545,42687,-,-,44228,-,43155441,-
"4월","2019",31205745,359916,63873,284553,11490,13342744,195426,13147318,-,-,2895734,14149570,380688,29602,47491,-,12672053,169836,135482,34354,544967,6250581,2260393,3439389,6887,43877798,529753,199355,284553,45844,13887712,195426,13692286,-,-,9146314,14149570,2641080,3468990,47491,6887,-,68055,-,43945853,-
"4월","2020",30816603,359189,53417,297160,8613,13448443,129360,13254117,64966,-,2312329,13688789,619708,350720,29962,7463,11300065,151887,113369,38519,653994,4499786,2452177,3078005,464216,42116669,511077,166785,297160,47132,14102437,129360,13908111,64966,-,6812115,13688789,3071885,3428726,29962,471678,-,138726,-,42255395,-
"4월","2021",29411611,405692,76531,319447,9715,11211308,120910,10971398,31683,87317,4089890,12550522,795038,304077,49291,5792,14133558,150484,105434,45050,1117062,6220942,2957751,3600149,87169,43545169,556177,181964,319447,54765,12328370,120910,12088460,31683,87317,10310832,12550522,3752789,3904226,49291,92961,...,92326,...,43637495,...
"5월","2015",33674327,268335,80413,173165,14757,17006381,644195,15950787,410329,1070,3403272,12591490,63638,275231,65980,-,7083264,190093,140220,49873,-,4293521,1406994,1192657,-,40757591,458427,220632,173165,64630,17006381,644195,15950787,410329,1070,7696793,12591490,1470631,1467888,65980,-,-,31376,-,40788967,-
"5월","2016",34575210,418863,117861,285398,15605,17237128,707050,15613851,916228,-,2550070,13999369,63679,269890,36210,-,7459261,215176,155529,59647,80044,3352122,1582702,2229217,-,42034471,634039,273389,285398,75252,17317173,707050,15693895,916228,-,5902192,13999369,1646381,2499107,36210,-,-,6523,-,42040994,-
"5월","2017",33996468,457306,78128,367704,11474,17575225,405831,17024443,144951,-,1733530,13670032,218199,280297,61880,-,8818159,149121,114853,34268,252005,4671241,1899834,1845958,-,42814627,606427,192981,367704,45743,17827229,405831,17276448,144951,-,6404771,13670032,2118033,2126254,61880,-,-,5436,-,42820063,-
"5월","2018",31954114,507871,178320,317243,12308,16214361,136674,15803952,273735,-,3338706,11368423,182183,288827,53744,-,12297133,283414,232342,51072,752607,6012312,1948606,3300194,-,44251247,791285,410662,317243,63380,16966968,136674,16556560,273735,-,9351017,11368423,2130789,3589020,53744,-,-,46683,-,44297930,-
"5월","2019",31857773,351017,82317,257825,10875,13609266,174555,13413611,21100,-,2704671,14771049,389091,-,32679,-,12437099,188830,149991,38839,763351,5760103,2691371,3022951,10493,44294871,539847,232308,257825,49714,14372617,174555,14176961,21100,-,8464773,14771049,3080461,3022951,32679,10493,-,39321,-,44334192,-
"5월","2020",31392127,378390,79817,286604,11968,13199462,203416,12979191,4681,12174,1875182,15257951,391646,256460,25961,7074,10058711,183915,132694,51221,702225,3854329,2219032,2605443,493768,41450839,562305,212511,286604,63189,13901687,203416,13681416,4681,12174,5729510,15257951,2610678,2861903,25961,500842,-,130525,-,41581363,-
"5월","2021",30432530,448307,133752,303229,11325,12877349,234809,12387478,180883,74179,3252531,12760349,722602,322617,44032,4743,13853644,188657,138775,49883,1077124,6633583,2957516,2907864,88901,44286175,636964,272527,303229,61208,13954473,234809,13464602,180883,74179,9886114,12760349,3680118,3230480,44032,93644,...,18465,...,44304640,...
"6월","2015",34411374,220718,68059,139428,13231,16999332,716365,16032178,250789,-,3311494,13516245,47356,271003,45227,-,7148676,139161,98816,40346,-,4498470,1378024,1133021,-,41560050,359879,166875,139428,53577,16999332,716365,16032178,250789,-,7809964,13516245,1425380,1404024,45227,-,-,22862,-,41582912,-
"6월","2016",34634612,313290,73006,226540,13744,17649526,642000,16237480,770046,-,3345045,12972156,50107,261178,43310,-,7910403,203917,157310,46607,239874,4009990,1352264,2104358,-,42545014,517207,230316,226540,60351,17889400,642000,16477354,770046,-,7355034,12972156,1402371,2365536,43310,-,-,5569,-,42550584,-
